category,bathrooms,bedrooms,has_photo,price,price_type,square_feet,state,latitude,longitude,time
housing/rent/apartment,1.0,0.0,Thumbnail,790,Monthly,101,Otros,389057.0,-769861.0,1577359415
housing/rent/apartment,1.0,1.0,Thumbnail,425,Monthly,106,IN,379680.0,-876621.0,1577017063
housing/rent/apartment,1.0,0.0,Thumbnail,1390,Monthly,107,VA,388910.0,-770816.0,1577359410
housing/rent/apartment,1.0,0.0,Thumbnail,925,Monthly,116,WA,476160.0,-1223275.0,1576667743
housing/rent/apartment,1.0,0.0,Thumbnail,880,Monthly,125,VA,388738.0,-771055.0,1577359401
housing/rent/apartment,1.0,0.0,Thumbnail,2475,Monthly,130,Otros,407629.0,-739885.0,1577289784
housing/rent/apartment,1.0,0.0,Thumbnail,1800,Monthly,132,CA,339932.0,-1184609.0,1577359461
housing/rent/apartment,1.0,0.0,Thumbnail,840,Monthly,136,Otros,389328.0,-770297.0,1577359393
housing/rent/apartment,1.0,0.0,Thumbnail,1495,Monthly,138,CA,377599.0,-1224379.0,1577358313
housing/rent/apartment,1.0,0.0,Thumbnail,890,Monthly,141,Otros,389118.0,-770132.0,1577359424
housing/rent/apartment,1.0,0.0,Thumbnail,990,Monthly,146,Otros,389118.0,-770132.0,1577359430
housing/rent/apartment,1.0,0.0,Thumbnail,840,Monthly,150,Otros,389118.0,-770132.0,1577359381
housing/rent/apartment,1.0,1.0,Thumbnail,1795,Monthly,156,AZ,322264.0,-1109438.0,1577017148
housing/rent/apartment,1.0,0.0,Thumbnail,1090,Monthly,178,Otros,389118.0,-770132.0,1577359415
housing/rent/apartment,1.0,0.0,Thumbnail,1695,Monthly,190,CA,377599.0,-1224379.0,1577015121
housing/rent/apartment,1.0,1.0,Thumbnail,1560,Weekly,200,NC,350847.0,-770609.0,1576618076
housing/rent/apartment,1.0,1.0,Thumbnail,1560,Monthly,200,NC,350960.0,-770272.0,1576406273
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,200,TX,300871.0,-954685.0,1577015327
housing/rent/apartment,1.0,1.0,Thumbnail,950,Monthly,200,CA,381172.0,-1222313.0,1577359918
housing/rent/apartment,1.0,1.0,Thumbnail,625,Monthly,200,GA,339649.0,-845107.0,1577359224
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,200,NC,352016.0,-808124.0,1576322215
housing/rent/apartment,1.0,1.0,Thumbnail,544,Monthly,200,FL,304601.0,-842714.0,1577359108
housing/rent/apartment,1.0,1.0,Thumbnail,450,Monthly,200,AZ,335178.0,-1120848.0,1577015539
housing/rent/apartment,1.0,1.0,Thumbnail,750,Monthly,215,FL,278492.0,-823155.0,1577015260
housing/rent/apartment,1.0,1.0,Thumbnail,2000,Monthly,219,Otros,328956.0,-854351.0,1577359217
housing/rent/apartment,1.0,1.0,Thumbnail,1400,Monthly,219,CA,377599.0,-1224379.0,1577359209
