category,bathrooms,bedrooms,has_photo,price,price_type,square_feet,cityname,latitude,longitude,time
housing/rent/apartment,1.0,0.0,Thumbnail,790,Monthly,101,Otras,389057.0,-769861.0,1577359415
housing/rent/apartment,1.0,1.0,Thumbnail,425,Monthly,106,Otras,379680.0,-876621.0,1577017063
housing/rent/apartment,1.0,0.0,Thumbnail,1390,Monthly,107,Otras,388910.0,-770816.0,1577359410
housing/rent/apartment,1.0,0.0,Thumbnail,925,Monthly,116,Otras,476160.0,-1223275.0,1576667743
housing/rent/apartment,1.0,0.0,Thumbnail,880,Monthly,125,Otras,388738.0,-771055.0,1577359401
housing/rent/apartment,1.0,0.0,Thumbnail,2475,Monthly,130,Otras,407629.0,-739885.0,1577289784
housing/rent/apartment,1.0,0.0,Thumbnail,1800,Monthly,132,Otras,339932.0,-1184609.0,1577359461
housing/rent/apartment,1.0,0.0,Thumbnail,840,Monthly,136,Otras,389328.0,-770297.0,1577359393
housing/rent/apartment,1.0,0.0,Thumbnail,1495,Monthly,138,San Francisco,377599.0,-1224379.0,1577358313
housing/rent/apartment,1.0,0.0,Thumbnail,890,Monthly,141,Otras,389118.0,-770132.0,1577359424
housing/rent/apartment,1.0,0.0,Thumbnail,990,Monthly,146,Otras,389118.0,-770132.0,1577359430
housing/rent/apartment,1.0,0.0,Thumbnail,840,Monthly,150,Otras,389118.0,-770132.0,1577359381
housing/rent/apartment,1.0,1.0,Thumbnail,1795,Monthly,156,Otras,322264.0,-1109438.0,1577017148
housing/rent/apartment,1.0,0.0,Thumbnail,1090,Monthly,178,Otras,389118.0,-770132.0,1577359415
housing/rent/apartment,1.0,0.0,Thumbnail,1695,Monthly,190,San Francisco,377599.0,-1224379.0,1577015121
housing/rent/apartment,1.0,1.0,Thumbnail,1560,Weekly,200,Otras,350847.0,-770609.0,1576618076
housing/rent/apartment,1.0,1.0,Thumbnail,1560,Monthly,200,Otras,350960.0,-770272.0,1576406273
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,200,Otras,300871.0,-954685.0,1577015327
housing/rent/apartment,1.0,1.0,Thumbnail,950,Monthly,200,Otras,381172.0,-1222313.0,1577359918
housing/rent/apartment,1.0,1.0,Thumbnail,625,Monthly,200,Otras,339649.0,-845107.0,1577359224
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,200,Otras,352016.0,-808124.0,1576322215
housing/rent/apartment,1.0,1.0,Thumbnail,544,Monthly,200,Otras,304601.0,-842714.0,1577359108
housing/rent/apartment,1.0,1.0,Thumbnail,450,Monthly,200,Otras,335178.0,-1120848.0,1577015539
housing/rent/apartment,1.0,1.0,Thumbnail,750,Monthly,215,Otras,278492.0,-823155.0,1577015260
housing/rent/apartment,1.0,1.0,Thumbnail,2000,Monthly,219,Otras,328956.0,-854351.0,1577359217
housing/rent/apartment,1.0,1.0,Thumbnail,1400,Monthly,219,San Francisco,377599.0,-1224379.0,1577359209
housing/rent/apartment,1.0,1.0,Thumbnail,1095,Monthly,219,Otras,391634.0,-766165.0,1577359234
housing/rent/apartment,1.0,1.0,Thumbnail,915,Monthly,219,Otras,395816.0,-1050387.0,1577015007
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,219,Otras,386210.0,-769225.0,1577015319
housing/rent/apartment,1.0,1.0,Thumbnail,865,Monthly,219,Otras,278492.0,-823155.0,1577015248
housing/rent/apartment,1.0,1.0,Thumbnail,725,Monthly,219,Otras,396828.0,-1048078.0,1577014995
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,219,Otras,387418.0,-774684.0,1577359248
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,219,Otras,337416.0,-842614.0,1577015182
housing/rent/apartment,1.0,1.0,Thumbnail,645,Monthly,219,Otras,280076.0,-824792.0,1577359235
housing/rent/apartment,1.0,1.0,Thumbnail,595,Monthly,219,Otras,351038.0,-1066110.0,1577359326
housing/rent/apartment,1.0,0.0,Thumbnail,1195,Monthly,223,Otras,476160.0,-1223275.0,1577359975
housing/rent/apartment,1.0,0.0,Thumbnail,1150,Monthly,225,Otras,476160.0,-1223275.0,1577360412
housing/rent/apartment,1.0,1.0,Thumbnail,942,Monthly,225,Chicago,418625.0,-876825.0,1577359301
housing/rent/apartment,1.0,0.0,Thumbnail,1250,Monthly,228,Otras,476160.0,-1223275.0,1577360296
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,230,Otras,352240.0,-811809.0,1576666501
housing/rent/apartment,1.0,1.0,Thumbnail,685,Monthly,230,Otras,277011.0,-823178.0,1577015249
housing/rent/apartment,1.0,1.0,Thumbnail,525,Monthly,230,Otras,351211.0,-899517.0,1577359551
housing/rent/apartment,1.0,0.0,Thumbnail,1095,Monthly,231,Otras,476160.0,-1223275.0,1577360334
housing/rent/apartment,1.0,0.0,Thumbnail,1695,Monthly,232,San Francisco,377599.0,-1224379.0,1577358464
housing/rent/apartment,1.0,0.0,Thumbnail,990,Monthly,239,Otras,389118.0,-770132.0,1577359411
housing/rent/apartment,1.0,1.0,Thumbnail,775,Monthly,240,Otras,487871.0,-1224437.0,1577360135
housing/rent/apartment,1.0,0.0,Thumbnail,1299,Monthly,243,Otras,476160.0,-1223275.0,1577359586
housing/rent/apartment,1.0,1.0,Thumbnail,705,Monthly,245,Otras,611723.0,-1498414.0,1577359000
housing/rent/apartment,1.0,1.0,Thumbnail,1800,Monthly,250,Otras,376019.0,-1224863.0,1577015133
housing/rent/apartment,1.0,1.0,Thumbnail,1600,Monthly,250,Otras,339855.0,-1184532.0,1576322048
housing/rent/apartment,1.0,1.0,Thumbnail,1500,Monthly,250,San Francisco,377599.0,-1224379.0,1577359213
housing/rent/apartment,1.0,1.0,Thumbnail,1330,Monthly,250,Otras,341450.0,-1183898.0,1577015755
housing/rent/apartment,1.0,1.0,Thumbnail,1310,Monthly,250,Otras,342805.0,-1188861.0,1577359152
housing/rent/apartment,1.0,1.0,Thumbnail,1300,Monthly,250,Otras,338363.0,-1183330.0,1577015787
housing/rent/apartment,1.0,1.0,Thumbnail,1295,Monthly,250,Otras,385587.0,-1214320.0,1577014892
housing/rent/apartment,1.0,1.0,Thumbnail,1255,Monthly,250,Otras,342017.0,-1184920.0,1576322123
housing/rent/apartment,1.0,1.0,Thumbnail,1250,Monthly,250,Otras,476160.0,-1223275.0,1577015295
housing/rent/apartment,1.0,1.0,Thumbnail,1250,Monthly,250,Otras,341881.0,-1183905.0,1575976767
housing/rent/apartment,1.0,1.0,Thumbnail,1200,Monthly,250,Denver,397360.0,-1049819.0,1577015008
housing/rent/apartment,1.0,1.0,Thumbnail,1200,Monthly,250,Otras,396828.0,-1048078.0,1577015098
housing/rent/apartment,1.0,1.0,Thumbnail,1175,Monthly,250,Otras,379353.0,-1216935.0,1577359008
housing/rent/apartment,1.0,1.0,Thumbnail,1155,Monthly,250,Otras,379917.0,-1225247.0,1577015122
housing/rent/apartment,1.0,1.0,Thumbnail,1150,Monthly,250,Otras,391088.0,-772384.0,1577015215
housing/rent/apartment,1.0,1.0,Thumbnail,1145,Monthly,250,Otras,426484.0,-711615.0,1577359272
housing/rent/apartment,1.0,1.0,Thumbnail,1135,Monthly,250,Otras,377904.0,-1222151.0,1577359210
housing/rent/apartment,1.0,1.0,Thumbnail,1115,Monthly,250,Otras,379724.0,-1223304.0,1577359208
housing/rent/apartment,1.0,0.0,Thumbnail,1095,Monthly,250,Chicago,418625.0,-876825.0,1577016975
housing/rent/apartment,1.0,1.0,Thumbnail,1090,Monthly,250,Otras,387999.0,-771072.0,1577359248
housing/rent/apartment,1.0,1.0,Thumbnail,1075,Monthly,250,Chicago,418625.0,-876825.0,1577015605
housing/rent/apartment,1.0,1.0,Thumbnail,1050,Monthly,250,Otras,342009.0,-1188636.0,1577359156
housing/rent/apartment,1.0,1.0,Thumbnail,1050,Monthly,250,Denver,397360.0,-1049819.0,1577359188
housing/rent/apartment,1.0,1.0,Thumbnail,1045,Monthly,250,Otras,387860.0,-772858.0,1577015325
housing/rent/apartment,1.0,1.0,Thumbnail,1025,Monthly,250,Otras,475988.0,-1221507.0,1577359245
housing/rent/apartment,1.0,1.0,Thumbnail,1005,Monthly,250,Otras,383918.0,-1212234.0,1577014891
