category,bathrooms,bedrooms,has_photo,price,price_display,price_type,square_feet,cityname,latitude,longitude,time
housing/rent/apartment,1.0,0.0,Thumbnail,790,790,Monthly,101,Washington,389057.0,-769861.0,1577359415
housing/rent/apartment,1.0,1.0,Thumbnail,425,425,Monthly,106,Evansville,379680.0,-876621.0,1577017063
housing/rent/apartment,1.0,0.0,Thumbnail,1390,1.39,Monthly,107,Arlington,388910.0,-770816.0,1577359410
housing/rent/apartment,1.0,0.0,Thumbnail,925,925,Monthly,116,Seattle,476160.0,-1223275.0,1576667743
housing/rent/apartment,1.0,0.0,Thumbnail,880,880,Monthly,125,Arlington,388738.0,-771055.0,1577359401
housing/rent/apartment,1.0,0.0,Thumbnail,2475,2.475,Monthly,130,Manhattan,407629.0,-739885.0,1577289784
housing/rent/apartment,1.0,0.0,Thumbnail,1800,1.8,Monthly,132,Venice,339932.0,-1184609.0,1577359461
housing/rent/apartment,1.0,0.0,Thumbnail,840,840,Monthly,136,Washington,389328.0,-770297.0,1577359393
housing/rent/apartment,1.0,0.0,Thumbnail,1495,1.495,Monthly,138,San Francisco,377599.0,-1224379.0,1577358313
housing/rent/apartment,1.0,0.0,Thumbnail,890,890,Monthly,141,Washington,389118.0,-770132.0,1577359424
housing/rent/apartment,1.0,0.0,Thumbnail,990,990,Monthly,146,Washington,389118.0,-770132.0,1577359430
housing/rent/apartment,1.0,0.0,Thumbnail,840,840,Monthly,150,Washington,389118.0,-770132.0,1577359381
housing/rent/apartment,1.0,1.0,Thumbnail,1795,1.795,Monthly,156,Tucson,322264.0,-1109438.0,1577017148
housing/rent/apartment,1.0,0.0,Thumbnail,1090,1.09,Monthly,178,Washington,389118.0,-770132.0,1577359415
housing/rent/apartment,1.0,0.0,Thumbnail,1695,1.695,Monthly,190,San Francisco,377599.0,-1224379.0,1577015121
housing/rent/apartment,1.0,1.0,Thumbnail,1560,"$1,560 Weekly",Weekly,200,New Bern,350847.0,-770609.0,1576618076
housing/rent/apartment,1.0,1.0,Thumbnail,1560,1.56,Monthly,200,New Bern,350960.0,-770272.0,1576406273
housing/rent/apartment,1.0,1.0,Thumbnail,1000,1,Monthly,200,Spring,300871.0,-954685.0,1577015327
housing/rent/apartment,1.0,1.0,Thumbnail,950,950,Monthly,200,Vallejo,381172.0,-1222313.0,1577359918
housing/rent/apartment,1.0,1.0,Thumbnail,625,625,Monthly,200,Marietta,339649.0,-845107.0,1577359224
housing/rent/apartment,1.0,1.0,Thumbnail,600,600,Monthly,200,Charlotte,352016.0,-808124.0,1576322215
housing/rent/apartment,1.0,1.0,Thumbnail,544,544,Monthly,200,Tallahassee,304601.0,-842714.0,1577359108
housing/rent/apartment,1.0,1.0,Thumbnail,450,450,Monthly,200,Phoenix,335178.0,-1120848.0,1577015539
housing/rent/apartment,1.0,1.0,Thumbnail,750,750,Monthly,215,Riverview,278492.0,-823155.0,1577015260
housing/rent/apartment,1.0,1.0,Thumbnail,2000,2,Monthly,219,Lafayette,328956.0,-854351.0,1577359217
housing/rent/apartment,1.0,1.0,Thumbnail,1400,1.4,Monthly,219,San Francisco,377599.0,-1224379.0,1577359209
housing/rent/apartment,1.0,1.0,Thumbnail,1095,1.095,Monthly,219,Glen Burnie,391634.0,-766165.0,1577359234
housing/rent/apartment,1.0,1.0,Thumbnail,915,915,Monthly,219,Littleton,395816.0,-1050387.0,1577015007
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,219,Waldorf,386210.0,-769225.0,1577015319
housing/rent/apartment,1.0,1.0,Thumbnail,865,865,Monthly,219,Riverview,278492.0,-823155.0,1577015248
housing/rent/apartment,1.0,1.0,Thumbnail,725,725,Monthly,219,Aurora,396828.0,-1048078.0,1577014995
